information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_68~send~15min (15min.lt)~Edvinas Regelskis~IP-278~0~0~1~1
InfoAct_id_69~send~15min (15min.lt)~Edvinas Regelskis~IP-279~0~0~1~1
InfoAct_id_70~send~15min (15min.lt)~Edvinas Regelskis~IP-283~0~0~1~1
InfoAct_id_71~send~15min (15min.lt)~Gintare Guzevi?i?t?~IP-279~0~+0.1~1~1
InfoAct_id_72~send~15min (15min.lt)~Gintare Guzevi?i?t?~IP-272~0~0~1~1
InfoAct_id_73~send~15min (15min.lt)~Gintare Guzevi?i?t?~IP-273~0~0~1~1
InfoAct_id_74~send~15min (15min.lt)~Gintare Guzevi?i?t?~IP-274~0~0~1~1
InfoAct_id_75~send~15min (15min.lt)~Gintare Guzevi?i?t?~IP-275~0~0~1~1
InfoAct_id_76~send~15min (15min.lt)~Gintare Guzevi?i?t?~IP-276~0~0~1~1
InfoAct_id_77~send~15min (15min.lt)~Gintare Guzevi?i?t?~IP-277~0~0~1~1
InfoAct_id_78~send~15min (15min.lt)~Gintare Guzevi?i?t?~IP-278~0~0~1~1
InfoAct_id_79~send~15min (15min.lt)~Gintare Guzevi?i?t?~IP-279~0~0~1~1
InfoAct_id_80~send~15min (15min.lt)~Gintare Guzevi?i?t?~IP-283~0~0~1~1
InfoAct_id_81~send~15min (15min.lt)~Archbishop Innokenty of Vilnius ROC~IP-277~0~+0.1~1~1
InfoAct_id_82~send~15min (15min.lt)~Archbishop Innokenty of Vilnius ROC~IP-272~0~0~1~1
InfoAct_id_83~send~15min (15min.lt)~Archbishop Innokenty of Vilnius ROC~IP-273~0~0~1~1
InfoAct_id_84~send~15min (15min.lt)~Archbishop Innokenty of Vilnius ROC~IP-274~0~0~1~1
InfoAct_id_85~send~15min (15min.lt)~Archbishop Innokenty of Vilnius ROC~IP-275~0~0~1~1
InfoAct_id_86~send~15min (15min.lt)~Archbishop Innokenty of Vilnius ROC~IP-276~0~0~1~1
InfoAct_id_87~send~15min (15min.lt)~Archbishop Innokenty of Vilnius ROC~IP-277~0~0~1~1
InfoAct_id_88~send~15min (15min.lt)~Archbishop Innokenty of Vilnius ROC~IP-278~0~0~1~1
InfoAct_id_89~send~15min (15min.lt)~Archbishop Innokenty of Vilnius ROC~IP-279~0~0~1~1
InfoAct_id_90~send~15min (15min.lt)~Archbishop Innokenty of Vilnius ROC~IP-283~0~0~1~1
InfoAct_id_91~send~15min (15min.lt)~Bishop Ambrose of Trakai ROC~IP-277~0~+0.1~1~1
InfoAct_id_92~send~15min (15min.lt)~Bishop Ambrose of Trakai ROC~IP-272~0~0~1~1
InfoAct_id_93~send~15min (15min.lt)~Bishop Ambrose of Trakai ROC~IP-273~0~0~1~1
InfoAct_id_94~send~15min (15min.lt)~Bishop Ambrose of Trakai ROC~IP-274~0~0~1~1
InfoAct_id_95~send~15min (15min.lt)~Bishop Ambrose of Trakai ROC~IP-275~0~0~1~1
InfoAct_id_96~send~15min (15min.lt)~Bishop Ambrose of Trakai ROC~IP-276~0~0~1~1
InfoAct_id_97~send~15min (15min.lt)~Bishop Ambrose of Trakai ROC~IP-277~0~0~1~1
InfoAct_id_98~send~15min (15min.lt)~Bishop Ambrose of Trakai ROC~IP-278~0~0~1~1
InfoAct_id_99~send~15min (15min.lt)~Bishop Ambrose of Trakai ROC~IP-279~0~0~1~1
InfoAct_id_100~send~15min (15min.lt)~Bishop Ambrose of Trakai ROC~IP-283~0~0~1~1
InfoAct_id_101~send~15min (15min.lt)~Arvydas Giedraitis~IP-276~0~+0.1~1~1
InfoAct_id_102~send~15min (15min.lt)~Arvydas Giedraitis~IP-272~0~0~1~1
InfoAct_id_103~send~15min (15min.lt)~Arvydas Giedraitis~IP-273~0~0~1~1
InfoAct_id_104~send~15min (15min.lt)~Arvydas Giedraitis~IP-274~0~0~1~1
InfoAct_id_105~send~15min (15min.lt)~Arvydas Giedraitis~IP-275~0~0~1~1
InfoAct_id_106~send~15min (15min.lt)~Arvydas Giedraitis~IP-276~0~0~1~1
InfoAct_id_107~send~15min (15min.lt)~Arvydas Giedraitis~IP-277~0~0~1~1
InfoAct_id_108~send~15min (15min.lt)~Arvydas Giedraitis~IP-278~0~0~1~1
InfoAct_id_109~send~15min (15min.lt)~Arvydas Giedraitis~IP-279~0~0~1~1
InfoAct_id_110~send~15min (15min.lt)~Arvydas Giedraitis~IP-283~0~0~1~1
InfoAct_id_111~send~Delfi LT (delfi.lt)~B-ID-9~IP-426~0~+0.1~1~1
InfoAct_id_112~send~Delfi LT (delfi.lt)~B-ID-9~IP-422~0~0~1~1
InfoAct_id_113~send~Delfi LT (delfi.lt)~B-ID-9~IP-423~0~0~1~1
InfoAct_id_114~send~Delfi LT (delfi.lt)~B-ID-9~IP-424~0~0~1~1
InfoAct_id_115~send~Delfi LT (delfi.lt)~B-ID-9~IP-425~0~0~1~1
InfoAct_id_116~send~Delfi LT (delfi.lt)~B-ID-9~IP-426~0~0~1~1
InfoAct_id_117~send~Delfi LT (delfi.lt)~B-ID-9~IP-427~0~0~1~1
InfoAct_id_118~send~Delfi LT (delfi.lt)~B-ID-9~IP-428~0~0~1~1
InfoAct_id_119~send~Delfi LT (delfi.lt)~B-ID-9~IP-429~0~0~1~1
InfoAct_id_120~send~Delfi LT (delfi.lt)~B-ID-16~IP-422~0~-0.1~1~1
InfoAct_id_121~send~Delfi LT (delfi.lt)~B-ID-16~IP-422~0~0~1~1
InfoAct_id_122~send~Delfi LT (delfi.lt)~B-ID-16~IP-423~0~0~1~1
InfoAct_id_123~send~Delfi LT (delfi.lt)~B-ID-16~IP-424~0~0~1~1
InfoAct_id_124~send~Delfi LT (delfi.lt)~B-ID-16~IP-425~0~0~1~1
InfoAct_id_125~send~Delfi LT (delfi.lt)~B-ID-16~IP-426~0~0~1~1
InfoAct_id_126~send~Delfi LT (delfi.lt)~B-ID-16~IP-427~0~0~1~1
InfoAct_id_127~send~Delfi LT (delfi.lt)~B-ID-16~IP-428~0~0~1~1
InfoAct_id_128~send~Delfi LT (delfi.lt)~B-ID-16~IP-429~0~0~1~1
InfoAct_id_129~send~Delfi LT (delfi.lt)~B-ID-21~IP-426~0~+0.1~1~1
InfoAct_id_130~send~Delfi LT (delfi.lt)~B-ID-21~IP-422~0~0~1~1
InfoAct_id_131~send~Delfi LT (delfi.lt)~B-ID-21~IP-423~0~0~1~1
InfoAct_id_132~send~Delfi LT (delfi.lt)~B-ID-21~IP-424~0~0~1~1
InfoAct_id_133~send~Delfi LT (delfi.lt)~B-ID-21~IP-425~0~0~1~1
InfoAct_id_134~send~Delfi LT (delfi.lt)~B-ID-21~IP-426~0~0~1~1
InfoAct_id_135~send~Delfi LT (delfi.lt)~B-ID-21~IP-427~0~0~1~1
InfoAct_id_136~send~Delfi LT (delfi.lt)~B-ID-21~IP-428~0~0~1~1
InfoAct_id_137~send~Delfi LT (delfi.lt)~B-ID-21~IP-429~0~0~1~1
InfoAct_id_138~send~Delfi LT (delfi.lt)~B-ID-22~IP-423~0~+0.1~1~1
InfoAct_id_139~send~Delfi LT (delfi.lt)~B-ID-22~IP-422~0~0~1~1
InfoAct_id_140~send~Delfi LT (delfi.lt)~B-ID-22~IP-423~0~0~1~1
InfoAct_id_141~send~Delfi LT (delfi.lt)~B-ID-22~IP-424~0~0~1~1
InfoAct_id_142~send~Delfi LT (delfi.lt)~B-ID-22~IP-425~0~0~1~1
InfoAct_id_143~send~Delfi LT (delfi.lt)~B-ID-22~IP-426~0~0~1~1
InfoAct_id_144~send~Delfi LT (delfi.lt)~B-ID-22~IP-427~0~0~1~1
InfoAct_id_145~send~Delfi LT (delfi.lt)~B-ID-22~IP-428~0~0~1~1
InfoAct_id_146~send~Delfi LT (delfi.lt)~B-ID-22~IP-429~0~0~1~1
InfoAct_id_147~send~Delfi LT (delfi.lt)~B-ID-30~IP-426~0~+0.1~1~1
InfoAct_id_148~send~Delfi LT (delfi.lt)~B-ID-30~IP-422~0~0~1~1
InfoAct_id_149~send~Delfi LT (delfi.lt)~B-ID-30~IP-423~0~0~1~1
InfoAct_id_150~send~Delfi LT (delfi.lt)~B-ID-30~IP-424~0~0~1~1
InfoAct_id_151~send~Delfi LT (delfi.lt)~B-ID-30~IP-425~0~0~1~1
InfoAct_id_152~send~Delfi LT (delfi.lt)~B-ID-30~IP-426~0~0~1~1
InfoAct_id_153~send~Delfi LT (delfi.lt)~B-ID-30~IP-427~0~0~1~1
InfoAct_id_154~send~Delfi LT (delfi.lt)~B-ID-30~IP-428~0~0~1~1
InfoAct_id_155~send~Delfi LT (delfi.lt)~B-ID-30~IP-429~0~0~1~1
InfoAct_id_156~send~Delfi LT (delfi.lt)~B-ID-32~IP-423~0~+0.1~1~1
InfoAct_id_157~send~Delfi LT (delfi.lt)~B-ID-32~IP-422~0~0~1~1
InfoAct_id_158~send~Delfi LT (delfi.lt)~B-ID-32~IP-423~0~0~1~1
InfoAct_id_159~send~Delfi LT (delfi.lt)~B-ID-32~IP-424~0~0~1~1
InfoAct_id_160~send~Delfi LT (delfi.lt)~B-ID-32~IP-425~0~0~1~1
InfoAct_id_161~send~Delfi LT (delfi.lt)~B-ID-32~IP-426~0~0~1~1
InfoAct_id_162~send~Delfi LT (delfi.lt)~B-ID-32~IP-427~0~0~1~1
InfoAct_id_163~send~Delfi LT (delfi.lt)~B-ID-32~IP-428~0~0~1~1
InfoAct_id_164~send~Delfi LT (delfi.lt)~B-ID-32~IP-429~0~0~1~1
InfoAct_id_165~send~Delfi LT (delfi.lt)~B-ID-33~IP-422~0~-0.1~1~1
InfoAct_id_166~send~Delfi LT (delfi.lt)~B-ID-33~IP-422~0~0~1~1
InfoAct_id_167~send~Delfi LT (delfi.lt)~B-ID-33~IP-423~0~0~1~1
InfoAct_id_168~send~Delfi LT (delfi.lt)~B-ID-33~IP-424~0~0~1~1
InfoAct_id_169~send~Delfi LT (delfi.lt)~B-ID-33~IP-425~0~0~1~1
InfoAct_id_170~send~Delfi LT (delfi.lt)~B-ID-33~IP-426~0~0~1~1
InfoAct_id_171~send~Delfi LT (delfi.lt)~B-ID-33~IP-427~0~0~1~1
InfoAct_id_172~send~Delfi LT (delfi.lt)~B-ID-33~IP-428~0~0~1~1
InfoAct_id_173~send~Delfi LT (delfi.lt)~B-ID-33~IP-429~0~0~1~1
InfoAct_id_174~send~Delfi LT (delfi.lt)~B-ID-35~IP-423~0~-0.1~1~1
InfoAct_id_175~send~Delfi LT (delfi.lt)~B-ID-35~IP-422~0~0~1~1
InfoAct_id_176~send~Delfi LT (delfi.lt)~B-ID-35~IP-423~0~0~1~1
InfoAct_id_177~send~Delfi LT (delfi.lt)~B-ID-35~IP-424~0~0~1~1
InfoAct_id_178~send~Delfi LT (delfi.lt)~B-ID-35~IP-425~0~0~1~1
InfoAct_id_179~send~Delfi LT (delfi.lt)~B-ID-35~IP-426~0~0~1~1
InfoAct_id_180~send~Delfi LT (delfi.lt)~B-ID-35~IP-427~0~0~1~1
InfoAct_id_181~send~Delfi LT (delfi.lt)~B-ID-35~IP-428~0~0~1~1
InfoAct_id_182~send~Delfi LT (delfi.lt)~B-ID-35~IP-429~0~0~1~1
InfoAct_id_183~send~Delfi LT (delfi.lt)~B-ID-36~IP-425~0~-0.1~1~1
InfoAct_id_184~send~Delfi LT (delfi.lt)~B-ID-36~IP-422~0~0~1~1
