information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_290~send~Delfi LT (delfi.lt)~B-ID-62~IP-429~0~0~1~1
InfoAct_id_291~send~Delfi LT (delfi.lt)~B-ID-64~IP-425~0~-0.1~1~1
InfoAct_id_292~send~Delfi LT (delfi.lt)~B-ID-64~IP-422~0~0~1~1
InfoAct_id_293~send~Delfi LT (delfi.lt)~B-ID-64~IP-423~0~0~1~1
InfoAct_id_294~send~Delfi LT (delfi.lt)~B-ID-64~IP-424~0~0~1~1
InfoAct_id_295~send~Delfi LT (delfi.lt)~B-ID-64~IP-425~0~0~1~1
InfoAct_id_296~send~Delfi LT (delfi.lt)~B-ID-64~IP-426~0~0~1~1
InfoAct_id_297~send~Delfi LT (delfi.lt)~B-ID-64~IP-427~0~0~1~1
InfoAct_id_298~send~Delfi LT (delfi.lt)~B-ID-64~IP-428~0~0~1~1
InfoAct_id_299~send~Delfi LT (delfi.lt)~B-ID-64~IP-429~0~0~1~1
InfoAct_id_300~send~Delfi LT (delfi.lt)~B-ID-67~IP-424~0~-0.1~1~1
InfoAct_id_301~send~Delfi LT (delfi.lt)~B-ID-67~IP-422~0~0~1~1
InfoAct_id_302~send~Delfi LT (delfi.lt)~B-ID-67~IP-423~0~0~1~1
InfoAct_id_303~send~Delfi LT (delfi.lt)~B-ID-67~IP-424~0~0~1~1
InfoAct_id_304~send~Delfi LT (delfi.lt)~B-ID-67~IP-425~0~0~1~1
InfoAct_id_305~send~Delfi LT (delfi.lt)~B-ID-67~IP-426~0~0~1~1
InfoAct_id_306~send~Delfi LT (delfi.lt)~B-ID-67~IP-427~0~0~1~1
InfoAct_id_307~send~Delfi LT (delfi.lt)~B-ID-67~IP-428~0~0~1~1
InfoAct_id_308~send~Delfi LT (delfi.lt)~B-ID-67~IP-429~0~0~1~1
InfoAct_id_309~send~Delfi LT (delfi.lt)~B-ID-68~IP-422~0~+0.1~1~1
InfoAct_id_310~send~Delfi LT (delfi.lt)~B-ID-68~IP-422~0~0~1~1
InfoAct_id_311~send~Delfi LT (delfi.lt)~B-ID-68~IP-423~0~0~1~1
InfoAct_id_312~send~Delfi LT (delfi.lt)~B-ID-68~IP-424~0~0~1~1
InfoAct_id_313~send~Delfi LT (delfi.lt)~B-ID-68~IP-425~0~0~1~1
InfoAct_id_314~send~Delfi LT (delfi.lt)~B-ID-68~IP-426~0~0~1~1
InfoAct_id_315~send~Delfi LT (delfi.lt)~B-ID-68~IP-427~0~0~1~1
InfoAct_id_316~send~Delfi LT (delfi.lt)~B-ID-68~IP-428~0~0~1~1
InfoAct_id_317~send~Delfi LT (delfi.lt)~B-ID-68~IP-429~0~0~1~1
InfoAct_id_318~send~Delfi LT (delfi.lt)~B-ID-74~IP-427~0~-0.1~1~1
InfoAct_id_319~send~Delfi LT (delfi.lt)~B-ID-74~IP-422~0~0~1~1
InfoAct_id_320~send~Delfi LT (delfi.lt)~B-ID-74~IP-423~0~0~1~1
InfoAct_id_321~send~Delfi LT (delfi.lt)~B-ID-74~IP-424~0~0~1~1
InfoAct_id_322~send~Delfi LT (delfi.lt)~B-ID-74~IP-425~0~0~1~1
InfoAct_id_323~send~Delfi LT (delfi.lt)~B-ID-74~IP-426~0~0~1~1
InfoAct_id_324~send~Delfi LT (delfi.lt)~B-ID-74~IP-427~0~0~1~1
InfoAct_id_325~send~Delfi LT (delfi.lt)~B-ID-74~IP-428~0~0~1~1
InfoAct_id_326~send~Delfi LT (delfi.lt)~B-ID-74~IP-429~0~0~1~1
InfoAct_id_327~send~Delfi LT (delfi.lt)~B-ID-76~IP-428~0~-0.1~1~1
InfoAct_id_328~send~Delfi LT (delfi.lt)~B-ID-76~IP-422~0~0~1~1
InfoAct_id_329~send~Delfi LT (delfi.lt)~B-ID-76~IP-423~0~0~1~1
InfoAct_id_330~send~Delfi LT (delfi.lt)~B-ID-76~IP-424~0~0~1~1
InfoAct_id_331~send~Delfi LT (delfi.lt)~B-ID-76~IP-425~0~0~1~1
InfoAct_id_332~send~Delfi LT (delfi.lt)~B-ID-76~IP-426~0~0~1~1
InfoAct_id_333~send~Delfi LT (delfi.lt)~B-ID-76~IP-427~0~0~1~1
InfoAct_id_334~send~Delfi LT (delfi.lt)~B-ID-76~IP-428~0~0~1~1
InfoAct_id_335~send~Delfi LT (delfi.lt)~B-ID-76~IP-429~0~0~1~1
InfoAct_id_336~send~Delfi LT (delfi.lt)~Austeja Landsbergiene~IP-429~0~-0.1~1~1
InfoAct_id_337~send~Delfi LT (delfi.lt)~Austeja Landsbergiene~IP-422~0~0~1~1
InfoAct_id_338~send~Delfi LT (delfi.lt)~Austeja Landsbergiene~IP-423~0~0~1~1
InfoAct_id_339~send~Delfi LT (delfi.lt)~Austeja Landsbergiene~IP-424~0~0~1~1
InfoAct_id_340~send~Delfi LT (delfi.lt)~Austeja Landsbergiene~IP-425~0~0~1~1
InfoAct_id_341~send~Delfi LT (delfi.lt)~Austeja Landsbergiene~IP-426~0~0~1~1
InfoAct_id_342~send~Delfi LT (delfi.lt)~Austeja Landsbergiene~IP-427~0~0~1~1
InfoAct_id_343~send~Delfi LT (delfi.lt)~Austeja Landsbergiene~IP-428~0~0~1~1
InfoAct_id_344~send~Delfi LT (delfi.lt)~Austeja Landsbergiene~IP-429~0~0~1~1
InfoAct_id_345~send~Delfi LT (delfi.lt)~Gabrielius Landsbergis~IP-427~0~+0.1~1~1
InfoAct_id_346~send~Delfi LT (delfi.lt)~Gabrielius Landsbergis~IP-422~0~0~1~1
InfoAct_id_347~send~Delfi LT (delfi.lt)~Gabrielius Landsbergis~IP-423~0~0~1~1
InfoAct_id_348~send~Delfi LT (delfi.lt)~Gabrielius Landsbergis~IP-424~0~0~1~1
InfoAct_id_349~send~Delfi LT (delfi.lt)~Gabrielius Landsbergis~IP-425~0~0~1~1
InfoAct_id_350~send~Delfi LT (delfi.lt)~Gabrielius Landsbergis~IP-426~0~0~1~1
InfoAct_id_351~send~Delfi LT (delfi.lt)~Gabrielius Landsbergis~IP-427~0~0~1~1
InfoAct_id_352~send~Delfi LT (delfi.lt)~Gabrielius Landsbergis~IP-428~0~0~1~1
InfoAct_id_353~send~Delfi LT (delfi.lt)~Gabrielius Landsbergis~IP-429~0~0~1~1
InfoAct_id_354~send~Delfi LT (delfi.lt)~Ingrida Simonyte~IP-425~0~-0.1~1~1
InfoAct_id_355~send~Delfi LT (delfi.lt)~Ingrida Simonyte~IP-422~0~0~1~1
InfoAct_id_356~send~Delfi LT (delfi.lt)~Ingrida Simonyte~IP-423~0~0~1~1
InfoAct_id_357~send~Delfi LT (delfi.lt)~Ingrida Simonyte~IP-424~0~0~1~1
InfoAct_id_358~send~Delfi LT (delfi.lt)~Ingrida Simonyte~IP-425~0~0~1~1
InfoAct_id_359~send~Delfi LT (delfi.lt)~Ingrida Simonyte~IP-426~0~0~1~1
InfoAct_id_360~send~Delfi LT (delfi.lt)~Ingrida Simonyte~IP-427~0~0~1~1
InfoAct_id_361~send~Delfi LT (delfi.lt)~Ingrida Simonyte~IP-428~0~0~1~1
InfoAct_id_362~send~Delfi LT (delfi.lt)~Ingrida Simonyte~IP-429~0~0~1~1
InfoAct_id_363~send~Delfi LT (delfi.lt)~Simonas Gurevicius~IP-424~0~-0.1~1~1
InfoAct_id_364~send~Delfi LT (delfi.lt)~Simonas Gurevicius~IP-422~0~0~1~1
InfoAct_id_365~send~Delfi LT (delfi.lt)~Simonas Gurevicius~IP-423~0~0~1~1
InfoAct_id_366~send~Delfi LT (delfi.lt)~Simonas Gurevicius~IP-424~0~0~1~1
InfoAct_id_367~send~Delfi LT (delfi.lt)~Simonas Gurevicius~IP-425~0~0~1~1
InfoAct_id_368~send~Delfi LT (delfi.lt)~Simonas Gurevicius~IP-426~0~0~1~1
InfoAct_id_369~send~Delfi LT (delfi.lt)~Simonas Gurevicius~IP-427~0~0~1~1
InfoAct_id_370~send~Delfi LT (delfi.lt)~Simonas Gurevicius~IP-428~0~0~1~1
InfoAct_id_371~send~Delfi LT (delfi.lt)~Simonas Gurevicius~IP-429~0~0~1~1
InfoAct_id_372~send~Delfi LT (delfi.lt)~Edvinas Regelskis~IP-429~0~-0.1~1~1
InfoAct_id_373~send~Delfi LT (delfi.lt)~Edvinas Regelskis~IP-422~0~0~1~1
InfoAct_id_374~send~Delfi LT (delfi.lt)~Edvinas Regelskis~IP-423~0~0~1~1
InfoAct_id_375~send~Delfi LT (delfi.lt)~Edvinas Regelskis~IP-424~0~0~1~1
InfoAct_id_376~send~Delfi LT (delfi.lt)~Edvinas Regelskis~IP-425~0~0~1~1
InfoAct_id_377~send~Delfi LT (delfi.lt)~Edvinas Regelskis~IP-426~0~0~1~1
InfoAct_id_378~send~Delfi LT (delfi.lt)~Edvinas Regelskis~IP-427~0~0~1~1
InfoAct_id_379~send~Delfi LT (delfi.lt)~Edvinas Regelskis~IP-428~0~0~1~1
InfoAct_id_380~send~Delfi LT (delfi.lt)~Edvinas Regelskis~IP-429~0~0~1~1
InfoAct_id_381~send~Delfi LT (delfi.lt)~Edita Baniene~IP-423~0~-0.1~1~1
InfoAct_id_382~send~Delfi LT (delfi.lt)~Edita Baniene~IP-422~0~0~1~1
InfoAct_id_383~send~Delfi LT (delfi.lt)~Edita Baniene~IP-423~0~0~1~1
InfoAct_id_384~send~Delfi LT (delfi.lt)~Edita Baniene~IP-424~0~0~1~1
InfoAct_id_385~send~Delfi LT (delfi.lt)~Edita Baniene~IP-425~0~0~1~1
InfoAct_id_386~send~Delfi LT (delfi.lt)~Edita Baniene~IP-426~0~0~1~1
InfoAct_id_387~send~Delfi LT (delfi.lt)~Edita Baniene~IP-427~0~0~1~1
InfoAct_id_388~send~Delfi LT (delfi.lt)~Edita Baniene~IP-428~0~0~1~1
InfoAct_id_389~send~Delfi LT (delfi.lt)~Edita Baniene~IP-429~0~0~1~1
InfoAct_id_390~send~Delfi LT (delfi.lt)~Egle Juzu~IP-429~0~+0.1~1~1
InfoAct_id_391~send~Delfi LT (delfi.lt)~Egle Juzu~IP-422~0~0~1~1
InfoAct_id_392~send~Delfi LT (delfi.lt)~Egle Juzu~IP-423~0~0~1~1
InfoAct_id_393~send~Delfi LT (delfi.lt)~Egle Juzu~IP-424~0~0~1~1
InfoAct_id_394~send~Delfi LT (delfi.lt)~Egle Juzu~IP-425~0~0~1~1
InfoAct_id_395~send~Delfi LT (delfi.lt)~Egle Juzu~IP-426~0~0~1~1
InfoAct_id_396~send~Delfi LT (delfi.lt)~Egle Juzu~IP-427~0~0~1~1
InfoAct_id_397~send~Delfi LT (delfi.lt)~Egle Juzu~IP-428~0~0~1~1
InfoAct_id_398~send~Delfi LT (delfi.lt)~Egle Juzu~IP-429~0~0~1~1
InfoAct_id_399~send~Delfi LT (delfi.lt)~LTC Lapin Denis Alexandrovich~IP-428~0~-0.1~1~1
InfoAct_id_400~send~Delfi LT (delfi.lt)~LTC Lapin Denis Alexandrovich~IP-422~0~0~1~1
InfoAct_id_401~send~Delfi LT (delfi.lt)~LTC Lapin Denis Alexandrovich~IP-423~0~0~1~1
InfoAct_id_402~send~Delfi LT (delfi.lt)~LTC Lapin Denis Alexandrovich~IP-424~0~0~1~1
InfoAct_id_403~send~Delfi LT (delfi.lt)~LTC Lapin Denis Alexandrovich~IP-425~0~0~1~1
InfoAct_id_404~send~Delfi LT (delfi.lt)~LTC Lapin Denis Alexandrovich~IP-426~0~0~1~1
InfoAct_id_405~send~Delfi LT (delfi.lt)~LTC Lapin Denis Alexandrovich~IP-427~0~0~1~1
InfoAct_id_406~send~Delfi LT (delfi.lt)~LTC Lapin Denis Alexandrovich~IP-428~0~0~1~1
InfoAct_id_407~send~Delfi LT (delfi.lt)~LTC Lapin Denis Alexandrovich~IP-429~0~0~1~1
InfoAct_id_408~send~Delfi LT (delfi.lt)~COL Maximov Sergei Viktorovich~IP-424~0~-0.1~1~1
InfoAct_id_409~send~Delfi LT (delfi.lt)~COL Maximov Sergei Viktorovich~IP-422~0~0~1~1
InfoAct_id_410~send~Delfi LT (delfi.lt)~COL Maximov Sergei Viktorovich~IP-423~0~0~1~1
InfoAct_id_411~send~Delfi LT (delfi.lt)~COL Maximov Sergei Viktorovich~IP-424~0~0~1~1
InfoAct_id_412~send~Delfi LT (delfi.lt)~COL Maximov Sergei Viktorovich~IP-425~0~0~1~1
InfoAct_id_413~send~Delfi LT (delfi.lt)~COL Maximov Sergei Viktorovich~IP-426~0~0~1~1
InfoAct_id_414~send~Delfi LT (delfi.lt)~COL Maximov Sergei Viktorovich~IP-427~0~0~1~1
InfoAct_id_415~send~Delfi LT (delfi.lt)~COL Maximov Sergei Viktorovich~IP-428~0~0~1~1
InfoAct_id_416~send~Delfi LT (delfi.lt)~COL Maximov Sergei Viktorovich~IP-429~0~0~1~1
InfoAct_id_417~send~Delfi LT (delfi.lt)~COL-GEN Victor Borisovich Astapov~IP-429~0~-0.1~1~1
InfoAct_id_418~send~Delfi LT (delfi.lt)~COL-GEN Victor Borisovich Astapov~IP-422~0~0~1~1
InfoAct_id_419~send~Delfi LT (delfi.lt)~COL-GEN Victor Borisovich Astapov~IP-423~0~0~1~1
InfoAct_id_420~send~Delfi LT (delfi.lt)~COL-GEN Victor Borisovich Astapov~IP-424~0~0~1~1
InfoAct_id_421~send~Delfi LT (delfi.lt)~COL-GEN Victor Borisovich Astapov~IP-425~0~0~1~1
InfoAct_id_422~send~Delfi LT (delfi.lt)~COL-GEN Victor Borisovich Astapov~IP-426~0~0~1~1
InfoAct_id_423~send~Delfi LT (delfi.lt)~COL-GEN Victor Borisovich Astapov~IP-427~0~0~1~1
InfoAct_id_424~send~Delfi LT (delfi.lt)~COL-GEN Victor Borisovich Astapov~IP-428~0~0~1~1
InfoAct_id_425~send~Delfi LT (delfi.lt)~COL-GEN Victor Borisovich Astapov~IP-429~0~0~1~1
InfoAct_id_426~send~LRT (lrt.lt)~B-ID-16~IP-1~0~0~1~1
InfoAct_id_427~send~LRT (lrt.lt)~B-ID-16~IP-1~0~0~1~1
InfoAct_id_428~send~LRT (lrt.lt)~B-ID-16~IP-2~0~0~1~1
InfoAct_id_429~send~LRT (lrt.lt)~B-ID-16~IP-3~0~0~1~1
InfoAct_id_430~send~LRT (lrt.lt)~B-ID-16~IP-4~0~0~1~1
InfoAct_id_431~send~LRT (lrt.lt)~B-ID-16~IP-5~0~0~1~1
InfoAct_id_432~send~LRT (lrt.lt)~B-ID-16~IP-6~0~0~1~1
InfoAct_id_433~send~LRT (lrt.lt)~B-ID-16~IP-7~0~0~1~1
InfoAct_id_434~send~LRT (lrt.lt)~B-ID-16~IP-8~0~0~1~1
InfoAct_id_435~send~LRT (lrt.lt)~B-ID-16~IP-9~0~0~1~1
InfoAct_id_436~send~LRT (lrt.lt)~B-ID-16~IP-10~0~0~1~1
InfoAct_id_437~send~LRT (lrt.lt)~B-ID-31~IP-6~0~0~1~1
InfoAct_id_438~send~LRT (lrt.lt)~B-ID-31~IP-1~0~0~1~1
InfoAct_id_439~send~LRT (lrt.lt)~B-ID-31~IP-2~0~0~1~1
InfoAct_id_440~send~LRT (lrt.lt)~B-ID-31~IP-3~0~0~1~1
InfoAct_id_441~send~LRT (lrt.lt)~B-ID-31~IP-4~0~0~1~1
InfoAct_id_442~send~LRT (lrt.lt)~B-ID-31~IP-5~0~0~1~1
InfoAct_id_443~send~LRT (lrt.lt)~B-ID-31~IP-6~0~0~1~1
InfoAct_id_444~send~LRT (lrt.lt)~B-ID-31~IP-7~0~0~1~1
InfoAct_id_445~send~LRT (lrt.lt)~B-ID-31~IP-8~0~0~1~1
InfoAct_id_446~send~LRT (lrt.lt)~B-ID-31~IP-9~0~0~1~1
InfoAct_id_447~send~LRT (lrt.lt)~B-ID-31~IP-10~0~0~1~1
InfoAct_id_448~send~LRT (lrt.lt)~B-ID-33~IP-5~0~0~1~1
InfoAct_id_449~send~LRT (lrt.lt)~B-ID-33~IP-1~0~0~1~1
InfoAct_id_450~send~LRT (lrt.lt)~B-ID-33~IP-2~0~0~1~1
InfoAct_id_451~send~LRT (lrt.lt)~B-ID-33~IP-3~0~0~1~1
InfoAct_id_452~send~LRT (lrt.lt)~B-ID-33~IP-4~0~0~1~1
InfoAct_id_453~send~LRT (lrt.lt)~B-ID-33~IP-5~0~0~1~1
InfoAct_id_454~send~LRT (lrt.lt)~B-ID-33~IP-6~0~0~1~1
InfoAct_id_455~send~LRT (lrt.lt)~B-ID-33~IP-7~0~0~1~1
InfoAct_id_456~send~LRT (lrt.lt)~B-ID-33~IP-8~0~0~1~1
InfoAct_id_457~send~LRT (lrt.lt)~B-ID-33~IP-9~0~0~1~1
InfoAct_id_458~send~LRT (lrt.lt)~B-ID-33~IP-10~0~0~1~1
InfoAct_id_459~send~LRT (lrt.lt)~B-ID-43~IP-6~0~0~1~1
InfoAct_id_460~send~LRT (lrt.lt)~B-ID-43~IP-1~0~0~1~1
InfoAct_id_461~send~LRT (lrt.lt)~B-ID-43~IP-2~0~0~1~1
InfoAct_id_462~send~LRT (lrt.lt)~B-ID-43~IP-3~0~0~1~1
InfoAct_id_463~send~LRT (lrt.lt)~B-ID-43~IP-4~0~0~1~1
InfoAct_id_464~send~LRT (lrt.lt)~B-ID-43~IP-5~0~0~1~1
InfoAct_id_465~send~LRT (lrt.lt)~B-ID-43~IP-6~0~0~1~1
InfoAct_id_466~send~LRT (lrt.lt)~B-ID-43~IP-7~0~0~1~1
InfoAct_id_467~send~LRT (lrt.lt)~B-ID-43~IP-8~0~0~1~1
InfoAct_id_468~send~LRT (lrt.lt)~B-ID-43~IP-9~0~0~1~1
InfoAct_id_469~send~LRT (lrt.lt)~B-ID-43~IP-10~0~0~1~1
InfoAct_id_470~send~LRT (lrt.lt)~B-ID-44~IP-4~0~0~1~1
InfoAct_id_471~send~LRT (lrt.lt)~B-ID-44~IP-1~0~0~1~1
InfoAct_id_472~send~LRT (lrt.lt)~B-ID-44~IP-2~0~0~1~1
InfoAct_id_473~send~LRT (lrt.lt)~B-ID-44~IP-3~0~0~1~1
InfoAct_id_474~send~LRT (lrt.lt)~B-ID-44~IP-4~0~0~1~1
InfoAct_id_475~send~LRT (lrt.lt)~B-ID-44~IP-5~0~0~1~1
InfoAct_id_476~send~LRT (lrt.lt)~B-ID-44~IP-6~0~0~1~1
InfoAct_id_477~send~LRT (lrt.lt)~B-ID-44~IP-7~0~0~1~1
InfoAct_id_478~send~LRT (lrt.lt)~B-ID-44~IP-8~0~0~1~1
InfoAct_id_479~send~LRT (lrt.lt)~B-ID-44~IP-9~0~0~1~1
InfoAct_id_480~send~LRT (lrt.lt)~B-ID-44~IP-10~0~0~1~1
InfoAct_id_481~send~LRT (lrt.lt)~B-ID-49~IP-8~0~+0.1~1~1
InfoAct_id_482~send~LRT (lrt.lt)~B-ID-49~IP-1~0~0~1~1
InfoAct_id_483~send~LRT (lrt.lt)~B-ID-49~IP-2~0~0~1~1
InfoAct_id_484~send~LRT (lrt.lt)~B-ID-49~IP-3~0~0~1~1
InfoAct_id_485~send~LRT (lrt.lt)~B-ID-49~IP-4~0~0~1~1
InfoAct_id_486~send~LRT (lrt.lt)~B-ID-49~IP-5~0~0~1~1
InfoAct_id_487~send~LRT (lrt.lt)~B-ID-49~IP-6~0~0~1~1
InfoAct_id_488~send~LRT (lrt.lt)~B-ID-49~IP-7~0~0~1~1
InfoAct_id_489~send~LRT (lrt.lt)~B-ID-49~IP-8~0~0~1~1
InfoAct_id_490~send~LRT (lrt.lt)~B-ID-49~IP-9~0~0~1~1
InfoAct_id_491~send~LRT (lrt.lt)~B-ID-49~IP-10~0~0~1~1
InfoAct_id_492~send~LRT (lrt.lt)~B-ID-60~IP-8~0~+0.1~1~1
InfoAct_id_493~send~LRT (lrt.lt)~B-ID-60~IP-1~0~0~1~1
InfoAct_id_494~send~LRT (lrt.lt)~B-ID-60~IP-2~0~0~1~1
InfoAct_id_495~send~LRT (lrt.lt)~B-ID-60~IP-3~0~0~1~1
InfoAct_id_496~send~LRT (lrt.lt)~B-ID-60~IP-4~0~0~1~1
InfoAct_id_497~send~LRT (lrt.lt)~B-ID-60~IP-5~0~0~1~1
InfoAct_id_498~send~LRT (lrt.lt)~B-ID-60~IP-6~0~0~1~1
InfoAct_id_499~send~LRT (lrt.lt)~B-ID-60~IP-7~0~0~1~1
InfoAct_id_500~send~LRT (lrt.lt)~B-ID-60~IP-8~0~0~1~1
InfoAct_id_501~send~LRT (lrt.lt)~B-ID-60~IP-9~0~0~1~1
InfoAct_id_502~send~LRT (lrt.lt)~B-ID-60~IP-10~0~0~1~1
InfoAct_id_503~send~LRT (lrt.lt)~B-ID-64~IP-3~0~0~1~1
InfoAct_id_504~send~LRT (lrt.lt)~B-ID-64~IP-1~0~0~1~1
InfoAct_id_505~send~LRT (lrt.lt)~B-ID-64~IP-2~0~0~1~1
InfoAct_id_506~send~LRT (lrt.lt)~B-ID-64~IP-3~0~0~1~1
InfoAct_id_507~send~LRT (lrt.lt)~B-ID-64~IP-4~0~0~1~1
InfoAct_id_508~send~LRT (lrt.lt)~B-ID-64~IP-5~0~0~1~1
InfoAct_id_509~send~LRT (lrt.lt)~B-ID-64~IP-6~0~0~1~1
InfoAct_id_510~send~LRT (lrt.lt)~B-ID-64~IP-7~0~0~1~1
InfoAct_id_511~send~LRT (lrt.lt)~B-ID-64~IP-8~0~0~1~1
InfoAct_id_512~send~LRT (lrt.lt)~B-ID-64~IP-9~0~0~1~1
InfoAct_id_513~send~LRT (lrt.lt)~B-ID-64~IP-10~0~0~1~1
InfoAct_id_514~send~LRT (lrt.lt)~B-ID-66~IP-6~0~0~1~1
InfoAct_id_515~send~LRT (lrt.lt)~B-ID-66~IP-1~0~0~1~1
InfoAct_id_516~send~LRT (lrt.lt)~B-ID-66~IP-2~0~0~1~1
InfoAct_id_517~send~LRT (lrt.lt)~B-ID-66~IP-3~0~0~1~1
InfoAct_id_518~send~LRT (lrt.lt)~B-ID-66~IP-4~0~0~1~1
InfoAct_id_519~send~LRT (lrt.lt)~B-ID-66~IP-5~0~0~1~1
InfoAct_id_520~send~LRT (lrt.lt)~B-ID-66~IP-6~0~0~1~1
InfoAct_id_521~send~LRT (lrt.lt)~B-ID-66~IP-7~0~0~1~1
InfoAct_id_522~send~LRT (lrt.lt)~B-ID-66~IP-8~0~0~1~1
InfoAct_id_523~send~LRT (lrt.lt)~B-ID-66~IP-9~0~0~1~1
InfoAct_id_524~send~LRT (lrt.lt)~B-ID-66~IP-10~0~0~1~1
InfoAct_id_525~send~LRT (lrt.lt)~B-ID-74~IP-6~0~0~1~1
InfoAct_id_526~send~LRT (lrt.lt)~B-ID-74~IP-1~0~0~1~1
InfoAct_id_527~send~LRT (lrt.lt)~B-ID-74~IP-2~0~0~1~1
InfoAct_id_528~send~LRT (lrt.lt)~B-ID-74~IP-3~0~0~1~1
InfoAct_id_529~send~LRT (lrt.lt)~B-ID-74~IP-4~0~0~1~1
InfoAct_id_530~send~LRT (lrt.lt)~B-ID-74~IP-5~0~0~1~1
InfoAct_id_531~send~LRT (lrt.lt)~B-ID-74~IP-6~0~0~1~1
InfoAct_id_532~send~LRT (lrt.lt)~B-ID-74~IP-7~0~0~1~1
InfoAct_id_533~send~LRT (lrt.lt)~B-ID-74~IP-8~0~0~1~1
InfoAct_id_534~send~LRT (lrt.lt)~B-ID-74~IP-9~0~0~1~1
InfoAct_id_535~send~LRT (lrt.lt)~B-ID-74~IP-10~0~0~1~1
InfoAct_id_536~send~LRT (lrt.lt)~B-ID-76~IP-4~0~0~1~1
InfoAct_id_537~send~LRT (lrt.lt)~B-ID-76~IP-1~0~0~1~1
InfoAct_id_538~send~LRT (lrt.lt)~B-ID-76~IP-2~0~0~1~1
InfoAct_id_539~send~LRT (lrt.lt)~B-ID-76~IP-3~0~0~1~1
InfoAct_id_540~send~LRT (lrt.lt)~B-ID-76~IP-4~0~0~1~1
InfoAct_id_541~send~LRT (lrt.lt)~B-ID-76~IP-5~0~0~1~1
InfoAct_id_542~send~LRT (lrt.lt)~B-ID-76~IP-6~0~0~1~1
InfoAct_id_543~send~LRT (lrt.lt)~B-ID-76~IP-7~0~0~1~1
InfoAct_id_544~send~LRT (lrt.lt)~B-ID-76~IP-8~0~0~1~1
InfoAct_id_545~send~LRT (lrt.lt)~B-ID-76~IP-9~0~0~1~1
InfoAct_id_546~send~LRT (lrt.lt)~B-ID-76~IP-10~0~0~1~1
InfoAct_id_547~send~LRT (lrt.lt)~Austeja Landsbergiene~IP-4~0~0~1~1
InfoAct_id_548~send~LRT (lrt.lt)~Austeja Landsbergiene~IP-1~0~0~1~1
InfoAct_id_549~send~LRT (lrt.lt)~Austeja Landsbergiene~IP-2~0~0~1~1
InfoAct_id_550~send~LRT (lrt.lt)~Austeja Landsbergiene~IP-3~0~0~1~1
InfoAct_id_551~send~LRT (lrt.lt)~Austeja Landsbergiene~IP-4~0~0~1~1
InfoAct_id_552~send~LRT (lrt.lt)~Austeja Landsbergiene~IP-5~0~0~1~1
InfoAct_id_553~send~LRT (lrt.lt)~Austeja Landsbergiene~IP-6~0~0~1~1
InfoAct_id_554~send~LRT (lrt.lt)~Austeja Landsbergiene~IP-7~0~0~1~1
InfoAct_id_555~send~LRT (lrt.lt)~Austeja Landsbergiene~IP-8~0~0~1~1
InfoAct_id_556~send~LRT (lrt.lt)~Austeja Landsbergiene~IP-9~0~0~1~1
InfoAct_id_557~send~LRT (lrt.lt)~Austeja Landsbergiene~IP-10~0~0~1~1
InfoAct_id_558~send~LRT (lrt.lt)~Simonas Gurevicius~IP-10~0~0~1~1
InfoAct_id_559~send~LRT (lrt.lt)~Simonas Gurevicius~IP-1~0~0~1~1
InfoAct_id_560~send~LRT (lrt.lt)~Simonas Gurevicius~IP-2~0~0~1~1
InfoAct_id_561~send~LRT (lrt.lt)~Simonas Gurevicius~IP-3~0~0~1~1
InfoAct_id_562~send~LRT (lrt.lt)~Simonas Gurevicius~IP-4~0~0~1~1
InfoAct_id_563~send~LRT (lrt.lt)~Simonas Gurevicius~IP-5~0~0~1~1
InfoAct_id_564~send~LRT (lrt.lt)~Simonas Gurevicius~IP-6~0~0~1~1
InfoAct_id_565~send~LRT (lrt.lt)~Simonas Gurevicius~IP-7~0~0~1~1
InfoAct_id_566~send~LRT (lrt.lt)~Simonas Gurevicius~IP-8~0~0~1~1
InfoAct_id_567~send~LRT (lrt.lt)~Simonas Gurevicius~IP-9~0~0~1~1
InfoAct_id_568~send~LRT (lrt.lt)~Simonas Gurevicius~IP-10~0~0~1~1
InfoAct_id_569~send~LRT (lrt.lt)~Gintare Guzevi?i?t?~IP-4~0~0~1~1
InfoAct_id_570~send~LRT (lrt.lt)~Gintare Guzevi?i?t?~IP-1~0~0~1~1
InfoAct_id_571~send~LRT (lrt.lt)~Gintare Guzevi?i?t?~IP-2~0~0~1~1
InfoAct_id_572~send~LRT (lrt.lt)~Gintare Guzevi?i?t?~IP-3~0~0~1~1
InfoAct_id_573~send~LRT (lrt.lt)~Gintare Guzevi?i?t?~IP-4~0~0~1~1
InfoAct_id_574~send~LRT (lrt.lt)~Gintare Guzevi?i?t?~IP-5~0~0~1~1
InfoAct_id_575~send~LRT (lrt.lt)~Gintare Guzevi?i?t?~IP-6~0~0~1~1
InfoAct_id_576~send~LRT (lrt.lt)~Gintare Guzevi?i?t?~IP-7~0~0~1~1
InfoAct_id_577~send~LRT (lrt.lt)~Gintare Guzevi?i?t?~IP-8~0~0~1~1
InfoAct_id_578~send~LRT (lrt.lt)~Gintare Guzevi?i?t?~IP-9~0~0~1~1
InfoAct_id_579~send~LRT (lrt.lt)~Gintare Guzevi?i?t?~IP-10~0~0~1~1
