relationship_action_id~source_agent_id~target_agent_id~action~change_in_trust~tick~simulation_id
Relation_Act_id_1936~GEN Vladimir Sergeyevich Mikhaylov~LTC Lapin Denis Alexandrovich~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1937~GEN Vladimir Sergeyevich Mikhaylov~LTC Lapin Denis Alexandrovich~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1938~GEN Vladimir Sergeyevich Mikhaylov~LTC Lapin Denis Alexandrovich~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1939~GEN Vladimir Sergeyevich Mikhaylov~LTC Lapin Denis Alexandrovich~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1940~GEN Vladimir Sergeyevich Mikhaylov~LTC Lapin Denis Alexandrovich~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1941~GEN Vladimir Sergeyevich Mikhaylov~LTC Lapin Denis Alexandrovich~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1942~GEN Vladimir Sergeyevich Mikhaylov~LTC Lapin Denis Alexandrovich~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1943~GEN Vladimir Sergeyevich Mikhaylov~LTC Lapin Denis Alexandrovich~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1944~GEN Vladimir Sergeyevich Mikhaylov~LTC Lapin Denis Alexandrovich~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1945~GEN Vladimir Sergeyevich Mikhaylov~LTC Lapin Denis Alexandrovich~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1946~GEN Vladimir Sergeyevich Mikhaylov~LTC Lapin Denis Alexandrovich~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1947~GEN Vladimir Sergeyevich Mikhaylov~GEN Nikolai Yegorovich Makarov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1948~GEN Vladimir Sergeyevich Mikhaylov~GEN Nikolai Yegorovich Makarov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1949~GEN Vladimir Sergeyevich Mikhaylov~GEN Nikolai Yegorovich Makarov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1950~GEN Vladimir Sergeyevich Mikhaylov~GEN Nikolai Yegorovich Makarov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1951~GEN Vladimir Sergeyevich Mikhaylov~GEN Nikolai Yegorovich Makarov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1952~GEN Vladimir Sergeyevich Mikhaylov~GEN Nikolai Yegorovich Makarov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1953~GEN Vladimir Sergeyevich Mikhaylov~GEN Nikolai Yegorovich Makarov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1954~GEN Vladimir Sergeyevich Mikhaylov~GEN Nikolai Yegorovich Makarov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1955~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1956~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1957~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1958~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1959~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1960~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1961~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1962~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1963~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1964~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1965~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Victor Borisovich Astapov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1966~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Alexander Zhuravlyov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1967~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Alexander Zhuravlyov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1968~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Alexander Zhuravlyov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1969~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Alexander Zhuravlyov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1970~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Alexander Zhuravlyov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1971~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Alexander Zhuravlyov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1972~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Alexander Zhuravlyov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1973~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Alexander Zhuravlyov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1974~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Anatoly Alekseyevich Sidorov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1975~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Anatoly Alekseyevich Sidorov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1976~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Anatoly Alekseyevich Sidorov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1977~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Anatoly Alekseyevich Sidorov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1978~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Anatoly Alekseyevich Sidorov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1979~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Anatoly Alekseyevich Sidorov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1980~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Anatoly Alekseyevich Sidorov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1981~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Anatoly Alekseyevich Sidorov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1982~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Anatoly Alekseyevich Sidorov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1983~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Anatoly Alekseyevich Sidorov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1984~GEN Vladimir Sergeyevich Mikhaylov~COL-GEN Anatoly Alekseyevich Sidorov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1985~GEN Vladimir Sergeyevich Mikhaylov~LTG Viktor Nikolaevich Samsonov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1986~GEN Vladimir Sergeyevich Mikhaylov~LTG Viktor Nikolaevich Samsonov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1987~GEN Vladimir Sergeyevich Mikhaylov~LTG Viktor Nikolaevich Samsonov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1988~GEN Vladimir Sergeyevich Mikhaylov~LTG Viktor Nikolaevich Samsonov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1989~GEN Vladimir Sergeyevich Mikhaylov~LTG Viktor Nikolaevich Samsonov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1990~GEN Vladimir Sergeyevich Mikhaylov~LTG Viktor Nikolaevich Samsonov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1991~GEN Vladimir Sergeyevich Mikhaylov~LTG Viktor Nikolaevich Samsonov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1992~GEN Vladimir Sergeyevich Mikhaylov~LTG Viktor Nikolaevich Samsonov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1993~GEN Vladimir Sergeyevich Mikhaylov~MG Ruslan Khazhismelovich Tsalikov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1994~GEN Vladimir Sergeyevich Mikhaylov~MG Ruslan Khazhismelovich Tsalikov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1995~GEN Vladimir Sergeyevich Mikhaylov~MG Ruslan Khazhismelovich Tsalikov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1996~GEN Vladimir Sergeyevich Mikhaylov~MG Ruslan Khazhismelovich Tsalikov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1997~GEN Vladimir Sergeyevich Mikhaylov~MG Ruslan Khazhismelovich Tsalikov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1998~GEN Vladimir Sergeyevich Mikhaylov~MG Ruslan Khazhismelovich Tsalikov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_1999~GEN Vladimir Sergeyevich Mikhaylov~MG Ruslan Khazhismelovich Tsalikov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2000~GEN Vladimir Sergeyevich Mikhaylov~MG Ruslan Khazhismelovich Tsalikov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2001~GEN Vladimir Sergeyevich Mikhaylov~GEN Alexey Fydorovich Maslov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2002~GEN Vladimir Sergeyevich Mikhaylov~GEN Alexey Fydorovich Maslov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2003~GEN Vladimir Sergeyevich Mikhaylov~GEN Alexey Fydorovich Maslov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2004~GEN Vladimir Sergeyevich Mikhaylov~GEN Alexey Fydorovich Maslov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2005~GEN Vladimir Sergeyevich Mikhaylov~GEN Alexey Fydorovich Maslov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2006~GEN Vladimir Sergeyevich Mikhaylov~GEN Alexey Fydorovich Maslov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2007~GEN Vladimir Sergeyevich Mikhaylov~GEN Alexey Fydorovich Maslov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2008~GEN Vladimir Sergeyevich Mikhaylov~GEN Alexey Fydorovich Maslov~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2009~GEN Vladimir Sergeyevich Mikhaylov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2010~GEN Vladimir Sergeyevich Mikhaylov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2011~GEN Vladimir Sergeyevich Mikhaylov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2012~GEN Vladimir Sergeyevich Mikhaylov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2013~GEN Vladimir Sergeyevich Mikhaylov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2014~GEN Vladimir Sergeyevich Mikhaylov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2015~GEN Vladimir Sergeyevich Mikhaylov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2016~GEN Vladimir Sergeyevich Mikhaylov~Sergey Kuzhugetovich Shoygu~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2017~GEN Vladimir Sergeyevich Mikhaylov~MG Arkady Vilktotovich Bakhin~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2018~GEN Vladimir Sergeyevich Mikhaylov~MG Arkady Vilktotovich Bakhin~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2019~GEN Vladimir Sergeyevich Mikhaylov~MG Arkady Vilktotovich Bakhin~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2020~GEN Vladimir Sergeyevich Mikhaylov~MG Arkady Vilktotovich Bakhin~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2021~GEN Vladimir Sergeyevich Mikhaylov~MG Arkady Vilktotovich Bakhin~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2022~GEN Vladimir Sergeyevich Mikhaylov~MG Arkady Vilktotovich Bakhin~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2023~GEN Vladimir Sergeyevich Mikhaylov~MG Arkady Vilktotovich Bakhin~INCREASE_TRUST~0.1~4~Sim0
Relation_Act_id_2024~GEN Vladimir Sergeyevich Mikhaylov~MG Arkady Vilktotovich Bakhin~INCREASE_TRUST~0.1~4~Sim0
