information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_4826~SEND~L24 (l24.lt)~B-ID-76~IP-359~0~0~3~Sim0
InfoAct_id_4827~SEND~L24 (l24.lt)~B-ID-76~IP-363~0~0~3~Sim0
InfoAct_id_4828~SEND~L24 (l24.lt)~B-ID-76~IP-367~0~0~3~Sim0
InfoAct_id_4829~SEND~L24 (l24.lt)~B-ID-76~IP-371~0~0~3~Sim0
InfoAct_id_4830~SEND~L24 (l24.lt)~B-ID-76~IP-375~0~0~3~Sim0
InfoAct_id_4831~SEND~L24 (l24.lt)~B-ID-76~IP-379~0~0~3~Sim0
InfoAct_id_4832~SEND~L24 (l24.lt)~B-ID-76~IP-383~0~0~3~Sim0
InfoAct_id_4833~SEND~L24 (l24.lt)~B-ID-76~IP-387~0~0~3~Sim0
InfoAct_id_4834~SEND~L24 (l24.lt)~B-ID-76~IP-391~0~0~3~Sim0
InfoAct_id_4835~SEND~L24 (l24.lt)~B-ID-76~IP-395~0~0~3~Sim0
InfoAct_id_4836~SEND~L24 (l24.lt)~B-ID-76~IP-399~0~0~3~Sim0
InfoAct_id_4837~SEND~L24 (l24.lt)~B-ID-76~IP-403~0~0~3~Sim0
InfoAct_id_4838~SEND~L24 (l24.lt)~B-ID-76~IP-407~0~0~3~Sim0
InfoAct_id_4839~SEND~L24 (l24.lt)~B-ID-76~IP-411~0~0~3~Sim0
InfoAct_id_4840~SEND~L24 (l24.lt)~B-ID-76~IP-415~0~0~3~Sim0
InfoAct_id_4841~SEND~L24 (l24.lt)~B-ID-76~IP-419~0~0~3~Sim0
InfoAct_id_4842~SEND~L24 (l24.lt)~Virgis Bagdonas~IP-343~0~0~3~Sim0
InfoAct_id_4843~SEND~L24 (l24.lt)~Virgis Bagdonas~IP-347~0~0~3~Sim0
InfoAct_id_4844~SEND~L24 (l24.lt)~Virgis Bagdonas~IP-351~0~0~3~Sim0
InfoAct_id_4845~SEND~L24 (l24.lt)~Virgis Bagdonas~IP-355~0~0~3~Sim0
InfoAct_id_4846~SEND~L24 (l24.lt)~Virgis Bagdonas~IP-359~0~0~3~Sim0
InfoAct_id_4847~SEND~L24 (l24.lt)~Virgis Bagdonas~IP-363~0~0~3~Sim0
InfoAct_id_4848~SEND~L24 (l24.lt)~Virgis Bagdonas~IP-367~0~0~3~Sim0
InfoAct_id_4849~SEND~L24 (l24.lt)~Virgis Bagdonas~IP-371~0~0~3~Sim0
InfoAct_id_4850~SEND~L24 (l24.lt)~Virgis Bagdonas~IP-375~0~0~3~Sim0
InfoAct_id_4851~SEND~L24 (l24.lt)~Virgis Bagdonas~IP-379~0~0~3~Sim0
InfoAct_id_4852~SEND~L24 (l24.lt)~Virgis Bagdonas~IP-383~0~0~3~Sim0
InfoAct_id_4853~SEND~L24 (l24.lt)~Virgis Bagdonas~IP-387~0~0~3~Sim0
InfoAct_id_4854~SEND~L24 (l24.lt)~Virgis Bagdonas~IP-391~0~0~3~Sim0
InfoAct_id_4855~SEND~L24 (l24.lt)~Virgis Bagdonas~IP-395~0~0~3~Sim0
InfoAct_id_4856~SEND~L24 (l24.lt)~Virgis Bagdonas~IP-399~0~0~3~Sim0
InfoAct_id_4857~SEND~L24 (l24.lt)~Virgis Bagdonas~IP-403~0~0~3~Sim0
InfoAct_id_4858~SEND~L24 (l24.lt)~Virgis Bagdonas~IP-407~0~0~3~Sim0
InfoAct_id_4859~SEND~L24 (l24.lt)~Virgis Bagdonas~IP-411~0~0~3~Sim0
InfoAct_id_4860~SEND~L24 (l24.lt)~Virgis Bagdonas~IP-415~0~0~3~Sim0
InfoAct_id_4861~SEND~L24 (l24.lt)~Virgis Bagdonas~IP-419~0~0~3~Sim0
InfoAct_id_4862~SEND~Diena (Diena.lt)~B-ID-2~IP-112~0~0~3~Sim0
InfoAct_id_4863~SEND~Diena (Diena.lt)~B-ID-2~IP-116~0~0~3~Sim0
InfoAct_id_4864~SEND~Diena (Diena.lt)~B-ID-2~IP-120~0~0~3~Sim0
InfoAct_id_4865~SEND~Diena (Diena.lt)~B-ID-2~IP-124~0~0~3~Sim0
InfoAct_id_4866~SEND~Diena (Diena.lt)~B-ID-2~IP-128~0~0~3~Sim0
InfoAct_id_4867~SEND~Diena (Diena.lt)~B-ID-2~IP-148~0~0~3~Sim0
InfoAct_id_4868~SEND~Diena (Diena.lt)~B-ID-2~IP-152~0~0~3~Sim0
InfoAct_id_4869~SEND~Diena (Diena.lt)~B-ID-2~IP-156~0~0~3~Sim0
InfoAct_id_4870~SEND~Diena (Diena.lt)~B-ID-2~IP-160~0~0~3~Sim0
InfoAct_id_4871~SEND~Diena (Diena.lt)~B-ID-2~IP-164~0~0~3~Sim0
InfoAct_id_4872~SEND~Diena (Diena.lt)~B-ID-2~IP-168~0~0~3~Sim0
InfoAct_id_4873~SEND~Diena (Diena.lt)~B-ID-2~IP-172~0~0~3~Sim0
InfoAct_id_4874~SEND~Diena (Diena.lt)~B-ID-2~IP-176~0~0~3~Sim0
InfoAct_id_4875~SEND~Diena (Diena.lt)~B-ID-2~IP-180~0~0~3~Sim0
InfoAct_id_4876~SEND~Diena (Diena.lt)~B-ID-2~IP-184~0~0~3~Sim0
InfoAct_id_4877~SEND~Diena (Diena.lt)~B-ID-2~IP-188~0~0~3~Sim0
InfoAct_id_4878~SEND~Diena (Diena.lt)~B-ID-11~IP-112~0~0~3~Sim0
InfoAct_id_4879~SEND~Diena (Diena.lt)~B-ID-11~IP-116~0~0~3~Sim0
InfoAct_id_4880~SEND~Diena (Diena.lt)~B-ID-11~IP-120~0~0~3~Sim0
InfoAct_id_4881~SEND~Diena (Diena.lt)~B-ID-11~IP-124~0~0~3~Sim0
InfoAct_id_4882~SEND~Diena (Diena.lt)~B-ID-11~IP-128~0~0~3~Sim0
InfoAct_id_4883~SEND~Diena (Diena.lt)~B-ID-11~IP-148~0~0~3~Sim0
InfoAct_id_4884~SEND~Diena (Diena.lt)~B-ID-11~IP-152~0~0~3~Sim0
InfoAct_id_4885~SEND~Diena (Diena.lt)~B-ID-11~IP-156~0~0~3~Sim0
InfoAct_id_4886~SEND~Diena (Diena.lt)~B-ID-11~IP-160~0~0~3~Sim0
InfoAct_id_4887~SEND~Diena (Diena.lt)~B-ID-11~IP-164~0~0~3~Sim0
InfoAct_id_4888~SEND~Diena (Diena.lt)~B-ID-11~IP-168~0~0~3~Sim0
InfoAct_id_4889~SEND~Diena (Diena.lt)~B-ID-11~IP-172~0~0~3~Sim0
InfoAct_id_4890~SEND~Diena (Diena.lt)~B-ID-11~IP-176~0~0~3~Sim0
InfoAct_id_4891~SEND~Diena (Diena.lt)~B-ID-11~IP-180~0~0~3~Sim0
InfoAct_id_4892~SEND~Diena (Diena.lt)~B-ID-11~IP-184~0~0~3~Sim0
InfoAct_id_4893~SEND~Diena (Diena.lt)~B-ID-11~IP-188~0~0~3~Sim0
InfoAct_id_4894~SEND~Diena (Diena.lt)~B-ID-27~IP-112~0~0~3~Sim0
InfoAct_id_4895~SEND~Diena (Diena.lt)~B-ID-27~IP-116~0~0~3~Sim0
InfoAct_id_4896~SEND~Diena (Diena.lt)~B-ID-27~IP-120~0~0~3~Sim0
InfoAct_id_4897~SEND~Diena (Diena.lt)~B-ID-27~IP-124~0~0~3~Sim0
InfoAct_id_4898~SEND~Diena (Diena.lt)~B-ID-27~IP-128~0~0~3~Sim0
InfoAct_id_4899~SEND~Diena (Diena.lt)~B-ID-27~IP-148~0~0~3~Sim0
InfoAct_id_4900~SEND~Diena (Diena.lt)~B-ID-27~IP-152~0~0~3~Sim0
InfoAct_id_4901~SEND~Diena (Diena.lt)~B-ID-27~IP-156~0~0~3~Sim0
InfoAct_id_4902~SEND~Diena (Diena.lt)~B-ID-27~IP-160~0~0~3~Sim0
InfoAct_id_4903~SEND~Diena (Diena.lt)~B-ID-27~IP-164~0~0~3~Sim0
InfoAct_id_4904~SEND~Diena (Diena.lt)~B-ID-27~IP-168~0~0~3~Sim0
InfoAct_id_4905~SEND~Diena (Diena.lt)~B-ID-27~IP-172~0~0~3~Sim0
InfoAct_id_4906~SEND~Diena (Diena.lt)~B-ID-27~IP-176~0~0~3~Sim0
InfoAct_id_4907~SEND~Diena (Diena.lt)~B-ID-27~IP-180~0~0~3~Sim0
InfoAct_id_4908~SEND~Diena (Diena.lt)~B-ID-27~IP-184~0~0~3~Sim0
InfoAct_id_4909~SEND~Diena (Diena.lt)~B-ID-27~IP-188~0~0~3~Sim0
InfoAct_id_4910~SEND~Diena (Diena.lt)~B-ID-29~IP-112~0~0~3~Sim0
InfoAct_id_4911~SEND~Diena (Diena.lt)~B-ID-29~IP-116~0~0~3~Sim0
InfoAct_id_4912~SEND~Diena (Diena.lt)~B-ID-29~IP-120~0~0~3~Sim0
InfoAct_id_4913~SEND~Diena (Diena.lt)~B-ID-29~IP-124~0~0~3~Sim0
InfoAct_id_4914~SEND~Diena (Diena.lt)~B-ID-29~IP-128~0~0~3~Sim0
InfoAct_id_4915~SEND~Diena (Diena.lt)~B-ID-29~IP-148~0~0~3~Sim0
InfoAct_id_4916~SEND~Diena (Diena.lt)~B-ID-29~IP-152~0~0~3~Sim0
InfoAct_id_4917~SEND~Diena (Diena.lt)~B-ID-29~IP-156~0~0~3~Sim0
InfoAct_id_4918~SEND~Diena (Diena.lt)~B-ID-29~IP-160~0~0~3~Sim0
InfoAct_id_4919~SEND~Diena (Diena.lt)~B-ID-29~IP-164~0~0~3~Sim0
InfoAct_id_4920~SEND~Diena (Diena.lt)~B-ID-29~IP-168~0~0~3~Sim0
InfoAct_id_4921~SEND~Diena (Diena.lt)~B-ID-29~IP-172~0~0~3~Sim0
InfoAct_id_4922~SEND~Diena (Diena.lt)~B-ID-29~IP-176~0~0~3~Sim0
InfoAct_id_4923~SEND~Diena (Diena.lt)~B-ID-29~IP-180~0~0~3~Sim0
InfoAct_id_4924~SEND~Diena (Diena.lt)~B-ID-29~IP-184~0~0~3~Sim0
InfoAct_id_4925~SEND~Diena (Diena.lt)~B-ID-29~IP-188~0~0~3~Sim0
InfoAct_id_4926~SEND~Diena (Diena.lt)~B-ID-41~IP-112~0~0~3~Sim0
InfoAct_id_4927~SEND~Diena (Diena.lt)~B-ID-41~IP-116~0~0~3~Sim0
InfoAct_id_4928~SEND~Diena (Diena.lt)~B-ID-41~IP-120~0~0~3~Sim0
InfoAct_id_4929~SEND~Diena (Diena.lt)~B-ID-41~IP-124~0~0~3~Sim0
InfoAct_id_4930~SEND~Diena (Diena.lt)~B-ID-41~IP-128~0~0~3~Sim0
InfoAct_id_4931~SEND~Diena (Diena.lt)~B-ID-41~IP-148~0~0~3~Sim0
InfoAct_id_4932~SEND~Diena (Diena.lt)~B-ID-41~IP-152~0~0~3~Sim0
InfoAct_id_4933~SEND~Diena (Diena.lt)~B-ID-41~IP-156~0~0~3~Sim0
InfoAct_id_4934~SEND~Diena (Diena.lt)~B-ID-41~IP-160~0~0~3~Sim0
InfoAct_id_4935~SEND~Diena (Diena.lt)~B-ID-41~IP-164~0~0~3~Sim0
InfoAct_id_4936~SEND~Diena (Diena.lt)~B-ID-41~IP-168~0~0~3~Sim0
InfoAct_id_4937~SEND~Diena (Diena.lt)~B-ID-41~IP-172~0~0~3~Sim0
InfoAct_id_4938~SEND~Diena (Diena.lt)~B-ID-41~IP-176~0~0~3~Sim0
InfoAct_id_4939~SEND~Diena (Diena.lt)~B-ID-41~IP-180~0~0~3~Sim0
InfoAct_id_4940~SEND~Diena (Diena.lt)~B-ID-41~IP-184~0~0~3~Sim0
InfoAct_id_4941~SEND~Diena (Diena.lt)~B-ID-41~IP-188~0~0~3~Sim0
InfoAct_id_4942~SEND~Diena (Diena.lt)~B-ID-44~IP-112~0~0~3~Sim0
InfoAct_id_4943~SEND~Diena (Diena.lt)~B-ID-44~IP-116~0~0~3~Sim0
InfoAct_id_4944~SEND~Diena (Diena.lt)~B-ID-44~IP-120~0~0~3~Sim0
InfoAct_id_4945~SEND~Diena (Diena.lt)~B-ID-44~IP-124~0~0~3~Sim0
InfoAct_id_4946~SEND~Diena (Diena.lt)~B-ID-44~IP-128~0~0~3~Sim0
InfoAct_id_4947~SEND~Diena (Diena.lt)~B-ID-44~IP-148~0~0~3~Sim0
InfoAct_id_4948~SEND~Diena (Diena.lt)~B-ID-44~IP-152~0~0~3~Sim0
InfoAct_id_4949~SEND~Diena (Diena.lt)~B-ID-44~IP-156~0~0~3~Sim0
InfoAct_id_4950~SEND~Diena (Diena.lt)~B-ID-44~IP-160~0~0~3~Sim0
InfoAct_id_4951~SEND~Diena (Diena.lt)~B-ID-44~IP-164~0~0~3~Sim0
InfoAct_id_4952~SEND~Diena (Diena.lt)~B-ID-44~IP-168~0~0~3~Sim0
InfoAct_id_4953~SEND~Diena (Diena.lt)~B-ID-44~IP-172~0~0~3~Sim0
InfoAct_id_4954~SEND~Diena (Diena.lt)~B-ID-44~IP-176~0~0~3~Sim0
InfoAct_id_4955~SEND~Diena (Diena.lt)~B-ID-44~IP-180~0~0~3~Sim0
InfoAct_id_4956~SEND~Diena (Diena.lt)~B-ID-44~IP-184~0~0~3~Sim0
InfoAct_id_4957~SEND~Diena (Diena.lt)~B-ID-44~IP-188~0~0~3~Sim0
InfoAct_id_4958~SEND~Diena (Diena.lt)~B-ID-66~IP-112~0~0~3~Sim0
InfoAct_id_4959~SEND~Diena (Diena.lt)~B-ID-66~IP-116~0~0~3~Sim0
InfoAct_id_4960~SEND~Diena (Diena.lt)~B-ID-66~IP-120~0~0~3~Sim0
InfoAct_id_4961~SEND~Diena (Diena.lt)~B-ID-66~IP-124~0~0~3~Sim0
InfoAct_id_4962~SEND~Diena (Diena.lt)~B-ID-66~IP-128~0~0~3~Sim0
InfoAct_id_4963~SEND~Diena (Diena.lt)~B-ID-66~IP-148~0~0~3~Sim0
InfoAct_id_4964~SEND~Diena (Diena.lt)~B-ID-66~IP-152~0~0~3~Sim0
InfoAct_id_4965~SEND~Diena (Diena.lt)~B-ID-66~IP-156~0~0~3~Sim0
InfoAct_id_4966~SEND~Diena (Diena.lt)~B-ID-66~IP-160~0~0~3~Sim0
InfoAct_id_4967~SEND~Diena (Diena.lt)~B-ID-66~IP-164~0~0~3~Sim0
InfoAct_id_4968~SEND~Diena (Diena.lt)~B-ID-66~IP-168~0~0~3~Sim0
InfoAct_id_4969~SEND~Diena (Diena.lt)~B-ID-66~IP-172~0~0~3~Sim0
InfoAct_id_4970~SEND~Diena (Diena.lt)~B-ID-66~IP-176~0~0~3~Sim0
InfoAct_id_4971~SEND~Diena (Diena.lt)~B-ID-66~IP-180~0~0~3~Sim0
InfoAct_id_4972~SEND~Diena (Diena.lt)~B-ID-66~IP-184~0~0~3~Sim0
InfoAct_id_4973~SEND~Diena (Diena.lt)~B-ID-66~IP-188~0~0~3~Sim0
InfoAct_id_4974~SEND~Diena (Diena.lt)~B-ID-67~IP-112~0~0~3~Sim0
InfoAct_id_4975~SEND~Diena (Diena.lt)~B-ID-67~IP-116~0~0~3~Sim0
InfoAct_id_4976~SEND~Diena (Diena.lt)~B-ID-67~IP-120~0~0~3~Sim0
InfoAct_id_4977~SEND~Diena (Diena.lt)~B-ID-67~IP-124~0~0~3~Sim0
InfoAct_id_4978~SEND~Diena (Diena.lt)~B-ID-67~IP-128~0~0~3~Sim0
InfoAct_id_4979~SEND~Diena (Diena.lt)~B-ID-67~IP-148~0~0~3~Sim0
InfoAct_id_4980~SEND~Diena (Diena.lt)~B-ID-67~IP-152~0~0~3~Sim0
InfoAct_id_4981~SEND~Diena (Diena.lt)~B-ID-67~IP-156~0~0~3~Sim0
InfoAct_id_4982~SEND~Diena (Diena.lt)~B-ID-67~IP-160~0~0~3~Sim0
InfoAct_id_4983~SEND~Diena (Diena.lt)~B-ID-67~IP-164~0~0~3~Sim0
InfoAct_id_4984~SEND~Diena (Diena.lt)~B-ID-67~IP-168~0~0~3~Sim0
InfoAct_id_4985~SEND~Diena (Diena.lt)~B-ID-67~IP-172~0~0~3~Sim0
InfoAct_id_4986~SEND~Diena (Diena.lt)~B-ID-67~IP-176~0~0~3~Sim0
InfoAct_id_4987~SEND~Diena (Diena.lt)~B-ID-67~IP-180~0~0~3~Sim0
InfoAct_id_4988~SEND~Diena (Diena.lt)~B-ID-67~IP-184~0~0~3~Sim0
InfoAct_id_4989~SEND~Diena (Diena.lt)~B-ID-67~IP-188~0~0~3~Sim0
