information_action_id~information_action_type~sending_agent_id~receiving_agent_id~information_packet_id~endorsed_agent_id~change_in_amplification~tick~simulation_id
InfoAct_id_65~SEND~Diena (Diena.lt)~B-ID-29~IP-179~0~0~1~Sim0
InfoAct_id_66~SEND~Diena (Diena.lt)~B-ID-29~IP-183~0~0~1~Sim0
InfoAct_id_67~SEND~Diena (Diena.lt)~B-ID-29~IP-187~0~0~1~Sim0
InfoAct_id_68~SEND~Diena (Diena.lt)~B-ID-29~IP-191~0~0~1~Sim0
InfoAct_id_69~SEND~Diena (Diena.lt)~B-ID-41~IP-114~0~0~1~Sim0
InfoAct_id_70~SEND~Diena (Diena.lt)~B-ID-41~IP-118~0~0~1~Sim0
InfoAct_id_71~SEND~Diena (Diena.lt)~B-ID-41~IP-122~0~0~1~Sim0
InfoAct_id_72~SEND~Diena (Diena.lt)~B-ID-41~IP-126~0~0~1~Sim0
InfoAct_id_73~SEND~Diena (Diena.lt)~B-ID-41~IP-130~0~0~1~Sim0
InfoAct_id_74~SEND~Diena (Diena.lt)~B-ID-41~IP-147~0~0~1~Sim0
InfoAct_id_75~SEND~Diena (Diena.lt)~B-ID-41~IP-151~0~0~1~Sim0
InfoAct_id_76~SEND~Diena (Diena.lt)~B-ID-41~IP-155~0~0~1~Sim0
InfoAct_id_77~SEND~Diena (Diena.lt)~B-ID-41~IP-159~0~0~1~Sim0
InfoAct_id_78~SEND~Diena (Diena.lt)~B-ID-41~IP-163~0~0~1~Sim0
InfoAct_id_79~SEND~Diena (Diena.lt)~B-ID-41~IP-167~0~0~1~Sim0
InfoAct_id_80~SEND~Diena (Diena.lt)~B-ID-41~IP-171~0~0~1~Sim0
InfoAct_id_81~SEND~Diena (Diena.lt)~B-ID-41~IP-175~0~0~1~Sim0
InfoAct_id_82~SEND~Diena (Diena.lt)~B-ID-41~IP-179~0~0~1~Sim0
InfoAct_id_83~SEND~Diena (Diena.lt)~B-ID-41~IP-183~0~0~1~Sim0
InfoAct_id_84~SEND~Diena (Diena.lt)~B-ID-41~IP-187~0~0~1~Sim0
InfoAct_id_85~SEND~Diena (Diena.lt)~B-ID-41~IP-191~0~0~1~Sim0
InfoAct_id_86~SEND~Diena (Diena.lt)~B-ID-44~IP-114~0~0~1~Sim0
InfoAct_id_87~SEND~Diena (Diena.lt)~B-ID-44~IP-118~0~0~1~Sim0
InfoAct_id_88~SEND~Diena (Diena.lt)~B-ID-44~IP-122~0~0~1~Sim0
InfoAct_id_89~SEND~Diena (Diena.lt)~B-ID-44~IP-126~0~0~1~Sim0
InfoAct_id_90~SEND~Diena (Diena.lt)~B-ID-44~IP-130~0~0~1~Sim0
InfoAct_id_91~SEND~Diena (Diena.lt)~B-ID-44~IP-147~0~0~1~Sim0
InfoAct_id_92~SEND~Diena (Diena.lt)~B-ID-44~IP-151~0~0~1~Sim0
InfoAct_id_93~SEND~Diena (Diena.lt)~B-ID-44~IP-155~0~0~1~Sim0
InfoAct_id_94~SEND~Diena (Diena.lt)~B-ID-44~IP-159~0~0~1~Sim0
InfoAct_id_95~SEND~Diena (Diena.lt)~B-ID-44~IP-163~0~0~1~Sim0
InfoAct_id_96~SEND~Diena (Diena.lt)~B-ID-44~IP-167~0~0~1~Sim0
InfoAct_id_97~SEND~Diena (Diena.lt)~B-ID-44~IP-171~0~0~1~Sim0
InfoAct_id_98~SEND~Diena (Diena.lt)~B-ID-44~IP-175~0~0~1~Sim0
InfoAct_id_99~SEND~Diena (Diena.lt)~B-ID-44~IP-179~0~0~1~Sim0
InfoAct_id_100~SEND~Diena (Diena.lt)~B-ID-44~IP-183~0~0~1~Sim0
InfoAct_id_101~SEND~Diena (Diena.lt)~B-ID-44~IP-187~0~0~1~Sim0
InfoAct_id_102~SEND~Diena (Diena.lt)~B-ID-44~IP-191~0~0~1~Sim0
InfoAct_id_103~SEND~Diena (Diena.lt)~B-ID-66~IP-114~0~0~1~Sim0
InfoAct_id_104~SEND~Diena (Diena.lt)~B-ID-66~IP-118~0~0~1~Sim0
InfoAct_id_105~SEND~Diena (Diena.lt)~B-ID-66~IP-122~0~0~1~Sim0
InfoAct_id_106~SEND~Diena (Diena.lt)~B-ID-66~IP-126~0~0~1~Sim0
InfoAct_id_107~SEND~Diena (Diena.lt)~B-ID-66~IP-130~0~0~1~Sim0
InfoAct_id_108~SEND~Diena (Diena.lt)~B-ID-66~IP-147~0~0~1~Sim0
InfoAct_id_109~SEND~Diena (Diena.lt)~B-ID-66~IP-151~0~0~1~Sim0
InfoAct_id_110~SEND~Diena (Diena.lt)~B-ID-66~IP-155~0~0~1~Sim0
InfoAct_id_111~SEND~Diena (Diena.lt)~B-ID-66~IP-159~0~0~1~Sim0
InfoAct_id_112~SEND~Diena (Diena.lt)~B-ID-66~IP-163~0~0~1~Sim0
InfoAct_id_113~SEND~Diena (Diena.lt)~B-ID-66~IP-167~0~0~1~Sim0
InfoAct_id_114~SEND~Diena (Diena.lt)~B-ID-66~IP-171~0~0~1~Sim0
InfoAct_id_115~SEND~Diena (Diena.lt)~B-ID-66~IP-175~0~0~1~Sim0
InfoAct_id_116~SEND~Diena (Diena.lt)~B-ID-66~IP-179~0~0~1~Sim0
InfoAct_id_117~SEND~Diena (Diena.lt)~B-ID-66~IP-183~0~0~1~Sim0
InfoAct_id_118~SEND~Diena (Diena.lt)~B-ID-66~IP-187~0~0~1~Sim0
InfoAct_id_119~SEND~Diena (Diena.lt)~B-ID-66~IP-191~0~0~1~Sim0
InfoAct_id_120~SEND~Diena (Diena.lt)~B-ID-67~IP-114~0~0~1~Sim0
InfoAct_id_121~SEND~Diena (Diena.lt)~B-ID-67~IP-118~0~0~1~Sim0
InfoAct_id_122~SEND~Diena (Diena.lt)~B-ID-67~IP-122~0~0~1~Sim0
InfoAct_id_123~SEND~Diena (Diena.lt)~B-ID-67~IP-126~0~0~1~Sim0
InfoAct_id_124~SEND~Diena (Diena.lt)~B-ID-67~IP-130~0~0~1~Sim0
InfoAct_id_125~SEND~Diena (Diena.lt)~B-ID-67~IP-147~0~0~1~Sim0
InfoAct_id_126~SEND~Diena (Diena.lt)~B-ID-67~IP-151~0~0~1~Sim0
