relationship_action_id~source_agent_id~target_agent_id~action~change_in_trust~tick~simulation_id
Relation_Act_id_1~GEN Nikolai Yegorovich Makarov~LTC Lapin Denis Alexandrovich~INCREASE_TRUST~0.1~2~Sim0
Relation_Act_id_2~GEN Nikolai Yegorovich Makarov~MG Arkady Vilktotovich Bakhin~INCREASE_TRUST~0.1~2~Sim0
Relation_Act_id_3~GEN Nikolai Yegorovich Makarov~MG Arkady Vilktotovich Bakhin~INCREASE_TRUST~0.1~2~Sim0
Relation_Act_id_4~GEN Nikolai Yegorovich Makarov~MG Arkady Vilktotovich Bakhin~INCREASE_TRUST~0.1~2~Sim0
Relation_Act_id_5~GEN Nikolai Yegorovich Makarov~MG Arkady Vilktotovich Bakhin~INCREASE_TRUST~0.1~2~Sim0
Relation_Act_id_6~GEN Nikolai Yegorovich Makarov~MG Arkady Vilktotovich Bakhin~INCREASE_TRUST~0.1~2~Sim0
Relation_Act_id_7~GEN Nikolai Yegorovich Makarov~MG Arkady Vilktotovich Bakhin~INCREASE_TRUST~0.1~2~Sim0
Relation_Act_id_8~GEN Nikolai Yegorovich Makarov~MG Arkady Vilktotovich Bakhin~INCREASE_TRUST~0.1~2~Sim0
Relation_Act_id_9~GEN Nikolai Yegorovich Makarov~MG Arkady Vilktotovich Bakhin~INCREASE_TRUST~0.1~2~Sim0
Relation_Act_id_10~GEN Nikolai Yegorovich Makarov~MG Arkady Vilktotovich Bakhin~INCREASE_TRUST~0.1~2~Sim0
Relation_Act_id_11~GEN Nikolai Yegorovich Makarov~MG Arkady Vilktotovich Bakhin~INCREASE_TRUST~0.1~2~Sim0
Relation_Act_id_12~GEN Nikolai Yegorovich Makarov~MG Arkady Vilktotovich Bakhin~INCREASE_TRUST~0.1~2~Sim0
Relation_Act_id_13~GEN Nikolai Yegorovich Makarov~COL Maximov Sergei Viktorovich~INCREASE_TRUST~0.1~2~Sim0
Relation_Act_id_14~GEN Nikolai Yegorovich Makarov~COL Maximov Sergei Viktorovich~INCREASE_TRUST~0.1~2~Sim0
Relation_Act_id_15~GEN Nikolai Yegorovich Makarov~COL Maximov Sergei Viktorovich~INCREASE_TRUST~0.1~2~Sim0
Relation_Act_id_16~GEN Nikolai Yegorovich Makarov~COL Maximov Sergei Viktorovich~INCREASE_TRUST~0.1~2~Sim0
Relation_Act_id_17~GEN Nikolai Yegorovich Makarov~COL Maximov Sergei Viktorovich~INCREASE_TRUST~0.1~2~Sim0
